Author	Year	Title of the Article	Objective	General Challenges in the work	Methodology used in the proposed work	Name of the Dataset used in the proposed work	Evaluation Metrics and its values	Issues faced in developing the proposed work	Future work
Vinothini Kasinathan, Aida Mustapha, Chow Khai Bin	2021	A Customizable Multilingual Chatbot System for Customer Support	To design a cost-effective, customizable multilingual chatbot for SMEs with live-chat and ticketing support	High cost of third-party chatbot services; lack of mixed-language support; difficulty integrating extended features	System design using TypeScript frontend, Go backend, Dart mobile app, React UI, MongoDB; rule-based conversational flow with admin customization	Survey data from 27 respondents (questionnaire) – Not publicly released	User satisfaction percentages from survey (e.g., majority agreed system is useful for SMEs)	Limited language scalability; dependency on predefined dialogue flows	Add more languages, speech-based interaction, and intelligent learning mechanisms
Sagar Badlani, Tanvi Aditya, Meet Dave, Sheetal Chaudhari	2021	Multilingual Healthcare Chatbot Using Machine Learning	To develop a multilingual healthcare chatbot capable of disease prediction and query answering	Ambiguity of symptoms; multilingual NLP complexity; rural accessibility	NLP preprocessing + ML classifiers (SVM, KNN, DT, MNB, Random Forest); TF-IDF and Cosine Similarity; speech-to-text and translation	Kaggle disease–symptom dataset (4920 records, 41 diseases) – Public	Accuracy: 98.43% (Random Forest)	Translation errors; symptom overlap between diseases; threshold tuning	Support more Indian languages; real-time clinical integration; improved voice accuracy
Myagmarsuren Orosoo et al.	2024	Enhancing Natural Language Processing in Multilingual Chatbots for Cross-Cultural Communication	To improve NLP capabilities of multilingual chatbots for culturally sensitive communication	Linguistic ambiguity; cultural context modeling; bias in training data	Linguistic & phonetic analysis, cultural context modeling, ML integration (MUSE, transfer learning, reinforcement learning), sentiment-based user feedback	Multilingual conversational dataset (Chinese, English, Korean, Japanese) – Public	Performance accuracy: 98%	Handling low-resource languages; cultural bias	Real-time language trend adaptation; expansion to more low-resource languages
Joshua P. Rainey et al.	2023	A Multilingual Chatbot Can Effectively Engage Arthroplasty Patients Who Have Limited English Proficiency	To evaluate chatbot effectiveness in engaging LEP patients and improving post-surgical outcomes	Language barriers; patient engagement inequality	Retrospective cohort study using multilingual SMS chatbot; statistical analysis (t-test, chi-square)	Clinical patient data (1,282 TJA patients) – Not public (clinical data)	Readmissions: 0% vs 8.3%; ED visits: 0.9% vs 8.0%	Limited sample size for LEP cohort; retrospective bias	Broader deployment across specialties; longer follow-up analysis
Usneek Singh et al.	2023	Multilingual Chatbot for Indian Languages	To build an efficient multilingual chatbot for Indian languages without machine translation	Poor representation of Indian languages in multilingual models	Transformer-based approach using MuRIL BERT; cosine similarity; extractive QA via fine-tuning	Ministry of Corporate Affairs FAQs (400 questions) – Public	Classification accuracy: 97%	Limited datasets for Indian languages; context extraction complexity	Extend to more domains; larger multilingual QA datasets
Dimitra Anastasiou et al.	2022	ENRICH4ALL: A First Luxembourgish BERT Model for a Multilingual Chatbot	To develop and fine-tune a BERT model for the under-resourced Luxembourgish language to support multilingual e-government chatbots	Scarcity of linguistic resources; language detection for Luxembourgish; MT limitations	Fine-tuning BERT for question labeling and similarity; MT-powered chatbot using eTranslation; intent matching via BotStudio	Manually created Luxembourgish administrative QA dataset – Public (LREC repository)	Classification and similarity performance reported as improved over baseline (qualitative + quantitative)	Low-resource language modeling; language identification gaps	Expand dataset; improve MT integration; deploy chatbot across EU public services
Zhaojiang Lin et al.	2021	XPersona: Evaluating Multilingual Personalized Chatbot	To create and evaluate a multilingual persona-based conversational dataset and models	Cost of multilingual annotation; translation noise; cross-lingual modeling difficulty	Multilingual & cross-lingual training using transformer-based encoder–decoder and causal decoder models	XPersona dataset (English + Chinese, French, Indonesian, Italian, Korean, Japanese) – Public	BLEU score, Edit distance, Human evaluation; multilingual models comparable to monolingual	Inferior performance of cross-lingual models; translation inconsistencies	Improve cross-lingual dialogue modeling; richer multilingual datasets
Mahesh Vanjani, Milam Aiken, Mina Park	2020	Using a Multilingual Chatbot for Foreign Language Practice	To evaluate the effectiveness of a multilingual chatbot for foreign language learning	Translation inaccuracies; response appropriateness across languages	Integration of Tutor Mike chatbot with Google Translate; student-based evaluation study	Conversation transcripts evaluated by 49 students – Not public	Mean rating 6.08/7 for usefulness; statistically significant (p < 0.001)	Variability in translations; non-identical dialog responses	Improve translation quality; expand controlled evaluation studies
Melito D. Mayormente et al.	2024	Design and Evaluation of a Multilingual Chatbot for Interactive English Language Learning	To design a personalized multilingual chatbot for interactive English learning using AI	Adapting to learner proficiency; intent recognition accuracy	NLP pipeline with NLU, Dialog Management, NLG; SVM for intent & language classification; proficiency labeling	Kaggle conversational datasets + curated multilingual data – Public	Intent recognition accuracy 98.3% (SVM)	Dataset diversity; real-time personalization complexity	Incorporate speech analytics; long-term learner progress evaluation
Mahesh Vanjani, Jamison Posey, Milam Aiken	2019	An Evaluation of a Multilingual Chatbot	To evaluate a hybrid multilingual chatbot using Google Translate with Rose chatbot	Human-like response quality; translation ambiguity	Hybrid chatbot linking Rose with Google Translate; modified Turing Test evaluation	German–English translated conversations; student evaluations – Not public	Human-likeness scores (1–7 scale); chatbot distinguishable from humans	Translation errors; limited speech recognition languages	Improve response naturalness; broader multilingual speech support
